DATE,STATION_NAME,NB_VALID,DEPARTEMENT
2019-07-01,CHEMIN VERT,3329,75
2019-07-01,CHENAY-GAGNY,1636,93
2019-07-01,CHEVALERET,9714,75
2019-07-01,CHILLY-MAZARIN,858,91
2019-07-01,CHOISY-LE-ROI,14074,94
2019-07-01,CITE,3436,75
2019-07-01,CLAMART,1420,92
2019-07-01,CLICHY-LEVALLOIS,18471,92
2019-07-01,COIGNIERES,489,78
2019-07-01,COLOMBES,6634,92
2019-07-01,COLONEL FABIEN,11522,75
2019-07-01,COMBS-LA-VILLE-QUINCY,4798,77
2019-07-01,COMMERCE,7638,75
2019-07-01,COMPANS,51,77
2019-07-01,CONCORDE,13036,75
2019-07-01,CONFLANS-FIN-D'OISE,5229,78
2019-07-01,CONFLANS-SAINTE-HONORINE,5217,78
2019-07-01,CONVENTION,12508,75
2019-07-01,CORBEIL-ESSONNES,4368,91
2019-07-01,CORENTIN CARIOU,7661,75
2019-07-01,CORENTIN-CELTON,9290,92
2019-07-01,CORMEILLES-EN-PARISIS,4699,95
2019-07-01,CORVISART,5587,75
2019-07-01,COUILLY-SAINT-GERMAIN-QUINCY,104,77
2019-07-01,COULOMMIERS,1059,77
2019-07-01,COUR SAINT-EMILION,15827,75
2019-07-01,COURBEVOIE,3955,92
2019-07-01,COURCELLES,7067,75
2019-07-01,COURONNES,6661,75
2019-07-01,CRECY-EN-BRIE-LA-CHAPELLE,146,77
2019-07-01,CRETEIL POMP,9182,94
2019-07-01,CRETEIL-L'ECHAT (HOPITAL MONDOR),6425,94
2019-07-01,CRETEIL-P. LAC,7743,94
2019-07-01,CRETEIL-PREFECTURE (HOTEL DE VILLE),13329,94
2019-07-01,CRETEIL-UNIVERSITE,8655,94
2019-07-01,CRIMEE,13362,75
2019-07-01,CROIX DE CHAVAUX (JACQUES DUCLOS),12026,93
2019-07-01,CROUY-SUR-OURCQ,140,77
2019-07-01,DAMMARTIN-JUILLY-SAINT-MARD,1364,77
2019-07-01,DANUBE,1384,75
2019-07-01,DAUMESNIL,12775,75
2019-07-01,DENFERT-ROCHEREAU,8558,75
2019-07-01,DEUIL-MONTMAGNY,2586,95
2019-07-01,DOMONT,3217,95
2019-07-01,DOURDAN,977,91
2019-07-01,DOURDAN-LA-FORET,45,91
2019-07-01,DRANCY,7530,93
2019-07-01,DUGNY COURNEUVE,725,93
2019-07-01,DUGOMMIER,6561,75
2019-07-01,DUROC,10990,75
2019-07-01,ECOLE MILITAIRE,9049,75
2019-07-01,ECOLE VETERINAIRE DE MAISONS-ALFORT,8747,94
2019-07-01,ECOUEN-EZANVILLE,2488,95
2019-07-01,EDGAR QUINET,3868,75
2019-07-01,EGLISE D'AUTEUIL,469,75
2019-07-01,EGLISE DE PANTIN,10042,93
2019-07-01,EGLY,504,91
2019-07-01,EMERAINVILLE-PONTAULT-COMBAULT,5561,77
2019-07-01,ENGHIEN-LES-BAINS,9232,95
2019-07-01,EPINAY SUR ST11,3088,93
2019-07-01,EPINAY VIL T11,902,93
2019-07-01,EPINAY-SUR-ORGE,3478,91
2019-07-01,EPINAY-SUR-SEINE,2045,95
2019-07-01,EPINAY-VILLETANEUSE,7388,95
2019-07-01,EPLUCHES,53,95
2019-07-01,EPONE-MEZIERES,1018,78
